//The process is pp>Radion. Not decaying the radion. The parameter used in the table is \LambdaR = 3 TeV
//Up to mR= 1 TeV the calculation is done extrapolating the  
//(NLO EW + NLL QCD) corrected cross section from HCSWG with radion couplings, 
//for M_X > 1 TeV mass we estimate the cross section assuming as "Kfactor" 
//the ratio ((NLO EW + NLL QCD) with MRST2008 pdf / LO with CTEQ6L ) of the radion calculation at mR= 1 TeV 
//what results in (k=1.89).
//The format of the table is:                           
//"mass CX(\LambdaR=3TeV)(fb)"
//if you want the cross section (CX) using a \LambdaR'(TeV) you do
//CX(\LambdaR')(pb) = CX(\LambdaR=3TeV)(fb) * (3TeV / \LambdaR'(TeV))^2
129.5 	19002.9
130. 	18835.2
130.5	18678.4
131. 	18521.9
131.5 	18365.8
132. 	18210.
132.5 	18054.6
133. 	17899.5
133.5 	17744.8
134. 	17600.8
134.5	17457.1
135. 	17303.4
135.5 	17160.3
136. 	17017.5
136.5 	16875.1
137. 	16733.
137.5 	16601.4
138. 	16459.9
138.5 	16318.7
139. 	16188.1
139.5 	16057.7
140.	15927.6
141. 	15678.4
142. 	15420.2
143. 	15183.3
144. 	14937.3
145. 	14702.4
146. 	14478.7
147. 	14255.8
148. 	14033.9
149. 	13812.9
150. 	13602.8
151. 	13393.6
152. 	13195.2
153. 	12997.6
154. 	12800.8
155. 	12604.8
156. 	12419.5
157. 	12234.9
158. 	12041.2
159. 	11848.4
160. 	11646.5
162. 	11138.6
164. 	10683.2
165. 	10495.4
166. 	10308.4
168. 	9955.83
170. 	9644.18
172. 	9343.51
174. 	9063.15
175. 	8928.49
176. 	8797.18
178. 	8537.02
180.	8265.82
182. 	8008.79
184. 	7774.99
185. 	7665.66
186. 	7561.34
188. 	7359.36
190. 	7158.89
192. 	6959.03
194. 	6769.68
195. 	6682.28
196. 	6599.69
198. 	6455.04
200. 	6329.16
202. 	6187.32
204. 	6053.5
206. 	5919.73
208. 	5782.53
210. 	5657.56
212. 	5530.87
214. 	5421.34
216. 	5326.17
218. 	5203.59
220. 	5091.15
222. 	4979.48
224. 	4879.43
226. 	4789.99
228. 	4683.78
230. 	4585.69
232. 	4493.96
234. 	4406.89
236. 	4311.51
238. 	4221.6
240. 	4125.13
242. 	4034.89
244. 	3946.07
246. 	3862.57
248. 	3782.74
250. 	3702.68
252. 	3626.23
254. 	3551.05
256. 	3477.89
258. 	3406.71
260. 	3338.24
262. 	3271.69
264. 	3207.77
266. 	3142.06
268. 	3078.94
270. 	3016.22
272. 	2958.18
274. 	2900.48
276. 	2844.53
278. 	2790.28
280.	2737.02
282. 	2684.74
284. 	2634.09
286. 	2585.04
288. 	2536.88
290. 	2490.27
295. 	2378.46
300. 	2272.07
305. 	2172.56
310. 	2079.35
315. 	1991.24
320. 	1905.87
325. 	1826.97
330. 	1752.75
335. 	1682.69
340. 	1615.94
345. 	1549.34
350. 	1446.74
360. 	1231.24
370. 	1091.28
380. 	987.014
390. 	902.295
400. 	830.627
420. 	714.225
440. 	621.639
450. 	581.382
460. 	544.946
480. 	480.897
500. 	426.346
520. 	379.472
540. 	338.979
550. 	320.755
560. 	303.813
580. 	273.129
600. 	246.33
620. 	222.676
640. 	201.767
650. 	192.362
660. 	183.386
680. 	167.001
700. 	152.534
720. 	139.779
740. 	128.287
750. 	122.978
760. 	117.962
780.	108.781
800. 	100.553
820. 	93.1427
840. 	86.4129
850. 	83.2794
860. 	80.3554
880. 	74.8888
900. 	69.8905
920. 	65.363
940. 	61.2307
950. 	59.2715
960. 	57.437
980. 	53.9713
1000. 	50.7888 
1100 	34.9727 
1200 	24.4348 
1300 	17.2353 
1400 	12.2559 
1500 	8.7748 
1600 	6.31863 
1700 	4.57174 
1800 	3.32079 
1900 	2.41977 
2000 	1.76761 
2100 	1.29363 
2200 	0.948001 
2300	0.695277 
2400 	0.510101 
2500 	0.374207 
2600 	0.274376 
2700 	0.200998 
2800 	0.147056 
2900 	0.107415 
3000 	0.0783041 
3100 	0.0569497 
3200 	0.0413082 
3300 	0.0298725 
3400 	0.0215301 
3500 	0.01546 
3600 	0.0110562 
3700 	0.0078718 
3800 	0.00557768 
3900 	0.00393162 
4000 	0.0027558
