    0.1715914279E+03   -0.7452189114E+04    0.6128322434E-01    0.6128322434E-01    0.6128322434E-01
    0.1715914279E+03   -0.7450984205E+04    0.6118197299E-01    0.6118197299E-01    0.6118197299E-01
    0.1715914279E+03   -0.7449779296E+04    0.6108097900E-01    0.6108097900E-01    0.6108097900E-01
    0.1715914279E+03   -0.7448574387E+04    0.6098024143E-01    0.6098024143E-01    0.6098024143E-01
    0.1715914279E+03   -0.7447369478E+04    0.6087975934E-01    0.6087975934E-01    0.6087975934E-01
    0.1715914279E+03   -0.7446164569E+04    0.6077953183E-01    0.6077953183E-01    0.6077953183E-01
    0.1715914279E+03   -0.7444959659E+04    0.6067955799E-01    0.6067955799E-01    0.6067955799E-01
    0.1715914279E+03   -0.7443754750E+04    0.6057983695E-01    0.6057983695E-01    0.6057983695E-01
    0.1715914279E+03   -0.7442549841E+04    0.6048036784E-01    0.6048036784E-01    0.6048036784E-01
    0.1715914279E+03   -0.7441344932E+04    0.6038114982E-01    0.6038114982E-01    0.6038114982E-01
    0.1715914279E+03   -0.7440140023E+04    0.6028218204E-01    0.6028218204E-01    0.6028218204E-01
    0.1715914279E+03   -0.7438935114E+04    0.6018346369E-01    0.6018346369E-01    0.6018346369E-01
    0.1715914279E+03   -0.7437730205E+04    0.6008499397E-01    0.6008499397E-01    0.6008499397E-01
    0.1715914279E+03   -0.7436525296E+04    0.5998677209E-01    0.5998677209E-01    0.5998677209E-01
    0.1715914279E+03   -0.7435320387E+04    0.5988879727E-01    0.5988879727E-01    0.5988879727E-01
    0.1715914279E+03   -0.7434115478E+04    0.5979106876E-01    0.5979106876E-01    0.5979106876E-01
    0.1715914279E+03   -0.7432910569E+04    0.5969358582E-01    0.5969358582E-01    0.5969358582E-01
    0.1715914279E+03   -0.7431705660E+04    0.5959634771E-01    0.5959634771E-01    0.5959634771E-01
    0.1715914279E+03   -0.7430500751E+04    0.5949935371E-01    0.5949935371E-01    0.5949935371E-01
    0.1715914279E+03   -0.7429295842E+04    0.5940260313E-01    0.5940260313E-01    0.5940260313E-01
    0.1715914279E+03   -0.7428090933E+04    0.5930609528E-01    0.5930609528E-01    0.5930609528E-01
    0.1715914279E+03   -0.7426886024E+04    0.5920982947E-01    0.5920982947E-01    0.5920982947E-01
    0.1715914279E+03   -0.7425681115E+04    0.5911380506E-01    0.5911380506E-01    0.5911380506E-01
    0.1715914279E+03   -0.7424476206E+04    0.5901802140E-01    0.5901802140E-01    0.5901802140E-01
    0.1715914279E+03   -0.7423271297E+04    0.5892247784E-01    0.5892247784E-01    0.5892247784E-01
    0.1715914279E+03   -0.7422066388E+04    0.5882717377E-01    0.5882717377E-01    0.5882717377E-01
    0.1715914279E+03   -0.7420861479E+04    0.5873210859E-01    0.5873210859E-01    0.5873210859E-01
    0.1715914279E+03   -0.7419656570E+04    0.5863728168E-01    0.5863728168E-01    0.5863728168E-01
    0.1715914279E+03   -0.7418451661E+04    0.5854269248E-01    0.5854269248E-01    0.5854269248E-01
    0.1715914279E+03   -0.7417246752E+04    0.5844834040E-01    0.5844834040E-01    0.5844834040E-01
    0.1715914279E+03   -0.7416041843E+04    0.5835422490E-01    0.5835422490E-01    0.5835422490E-01
    0.1715914279E+03   -0.7414836934E+04    0.5826034542E-01    0.5826034542E-01    0.5826034542E-01
    0.1715914279E+03   -0.7413632025E+04    0.5816670144E-01    0.5816670144E-01    0.5816670144E-01
    0.1715914279E+03   -0.7412427116E+04    0.5807329242E-01    0.5807329242E-01    0.5807329242E-01
    0.1715914279E+03   -0.7411222207E+04    0.5798011786E-01    0.5798011786E-01    0.5798011786E-01
    0.1715914279E+03   -0.7410017297E+04    0.5788717726E-01    0.5788717726E-01    0.5788717726E-01
    0.1715914279E+03   -0.7408812388E+04    0.5779447013E-01    0.5779447013E-01    0.5779447013E-01
    0.1715914279E+03   -0.7407607479E+04    0.5770199599E-01    0.5770199599E-01    0.5770199599E-01
    0.1715914279E+03   -0.7406402570E+04    0.5760975438E-01    0.5760975438E-01    0.5760975438E-01
    0.1715914279E+03   -0.7405197661E+04    0.5751774485E-01    0.5751774485E-01    0.5751774485E-01
    0.1715914279E+03   -0.7403992752E+04    0.5742596696E-01    0.5742596696E-01    0.5742596696E-01
    0.1715914279E+03   -0.7402787843E+04    0.5733442026E-01    0.5733442026E-01    0.5733442026E-01
    0.1715914279E+03   -0.7401582934E+04    0.5724310435E-01    0.5724310435E-01    0.5724310435E-01
    0.1715914279E+03   -0.7400378025E+04    0.5715201880E-01    0.5715201880E-01    0.5715201880E-01
    0.1715914279E+03   -0.7399173116E+04    0.5706116322E-01    0.5706116322E-01    0.5706116322E-01
    0.1715914279E+03   -0.7397968207E+04    0.5697053722E-01    0.5697053722E-01    0.5697053722E-01
    0.1715914279E+03   -0.7396763298E+04    0.5688014043E-01    0.5688014043E-01    0.5688014043E-01
    0.1715914279E+03   -0.7395558389E+04    0.5678997246E-01    0.5678997246E-01    0.5678997246E-01
    0.1715914279E+03   -0.7394353480E+04    0.5670003296E-01    0.5670003296E-01    0.5670003296E-01
    0.1715914279E+03   -0.7393148571E+04    0.5661032158E-01    0.5661032158E-01    0.5661032158E-01
    0.1715914279E+03   -0.7391943662E+04    0.5652083798E-01    0.5652083798E-01    0.5652083798E-01
    0.1715914279E+03   -0.7390738753E+04    0.5643158184E-01    0.5643158184E-01    0.5643158184E-01
    0.1715914279E+03   -0.7389533844E+04    0.5634255282E-01    0.5634255282E-01    0.5634255282E-01
